Item Name,Link
teensy 3.2,(Mouser) 474-DEV-13736
usb cable,(Mouser) 474-CAB-10215
jumper wires,(Mouser) 474-PRT-00124
breadboard fullsize,(Mouser) 474-PRT-12615
Instrumentation amp AD622 x 1,https://www.digikey.pt/products/en?keywords=AD622ANZ
Opamp x 1,https://www.digikey.pt/products/en?keywords=lm358pe3
"Resistor: 2x 1MOhm, 5x 220kOhm, some extra for experimenting",
"Capacitors: 4 x 100nF, 1x 20pF, 1x 100pF",
Battery holder 2xAA to make +/- rails,https://www.digikey.pt/product-detail/en/adafruit-industries-llc/3858/1528-2706-ND/9658064
2x battery AA,https://pt.farnell.com/energizer/e301594800/battery-alkaline-1-5v-aa/dp/3416694?st=battery%20aa
Disposable contacts for EMG,https://www.sparkfun.com/products/12969
Electrode Wires,https://www.sparkfun.com/products/12970
Audio jack to breadboard connector,https://www.sparkfun.com/products/11570
Multimeter,https://pt.farnell.com/tenma/72-13440/dmm-handheld-manual-2000-count/dp/2887387?ost=2887387
Webcam,
An oscilloscope ,
